GEOID,Equity_Score,Equity_Quintile
24510160600,46.6,4
24510271802,44.0,4
24510270600,28.1,2
24510270401,36.8,3
24510270402,25.6,1
24510270502,30.4,2
24510151200,49.1,4
24510151000,44.6,4
24510151100,37.7,3
24510150800,42.9,3
24510250205,47.0,4
24510260605,39.4,3
24510261100,12.2,1
24510270101,18.4,1
24510270102,36.0,2
24510270200,24.7,1
24510270301,26.7,2
24510270302,26.0,1
24510240200,12.9,1
24510271600,45.1,4
24510271700,42.2,3
24510230100,24.0,1
24510140100,35.9,2
24510250500,45.0,4
24510250600,25.9,1
24510260101,31.4,2
24510030200,26.1,1
24510040100,30.0,2
24510040200,38.4,3
24510060400,35.7,2
24510070100,51.9,5
24510070200,47.6,4
24510070300,37.0,3
24510070400,45.3,4
24510151300,50.3,5
24510160400,53.2,5
24510260202,49.0,4
24510260203,38.6,3
24510260301,38.2,3
24510260302,40.0,3
24510260303,42.3,3
24510260401,46.1,4
24510090200,29.0,2
24510090300,39.9,3
24510090400,50.0,5
24510090500,34.3,2
24510090600,43.4,4
24510090700,48.8,4
24510160500,48.7,4
24510160700,53.8,5
24510160801,44.2,4
24510160802,51.1,5
24510170100,46.7,4
24510170200,63.7,5
24510170300,59.8,5
24510270702,32.3,2
24510270801,33.3,2
24510270703,24.6,1
24510150300,58.0,5
24510200500,49.8,5
24510200600,43.8,4
24510200701,46.8,4
24510200800,47.8,4
24510270903,29.7,2
24510271001,46.7,4
24510271002,40.5,3
24510271101,29.5,2
24510271102,18.9,1
24510271200,13.8,1
24510130806,20.2,1
24510140200,46.6,4
24510140300,49.4,5
24510150200,52.6,5
24510150400,53.3,5
24510150702,46.4,4
24510150500,55.7,5
24510150600,53.8,5
24510150701,50.2,5
24510200400,52.9,5
24510190200,36.3,2
24510190300,40.7,3
24510200100,40.9,3
24510200200,49.9,5
24510200300,52.2,5
24510270803,37.8,3
24510270805,38.0,3
24510270901,41.5,3
24510270902,32.9,2
24510270804,36.7,3
24510271503,24.6,1
24510260403,38.7,3
24510060100,31.2,2
24510210100,29.4,2
24510220100,30.2,2
24510230300,16.5,1
24510240100,14.4,1
24510210200,34.4,2
24510250206,30.4,2
24510250207,41.9,3
24510250301,48.7,4
24510250303,40.5,3
24510250401,37.3,3
24510250402,49.1,4
24510272003,24.3,1
24510280101,39.2,3
24510280102,44.2,4
24510280200,40.2,3
24510280302,41.2,3
24510272007,41.0,3
24510060300,28.3,2
24510260800,43.2,4
24510080800,45.0,4
24510260900,16.8,1
24510230200,17.1,1
24510270501,24.6,1
24510160200,51.3,5
24510100100,57.6,5
24510130300,46.8,4
24510280301,44.6,4
24510120202,35.8,2
24510272005,26.4,2
24510120201,21.7,1
24510272004,26.0,1
24510160100,59.5,5
24510130200,34.8,2
24510130400,46.3,4
24510130600,15.9,1
24510130700,22.3,1
24510130803,24.4,1
24510130804,21.5,1
24510130805,39.4,3
24510271900,29.6,2
24510260102,32.8,2
24510260201,37.1,3
24510280401,35.0,2
24510280403,30.7,2
24510280404,43.0,3
24510080101,32.9,2
24510080102,52.6,5
24510270701,47.2,4
24510272006,45.6,4
24510280500,67.3,5
24510150100,54.1,5
24510090900,46.1,4
24510120400,40.1,3
24510080301,46.0,4
24510260700,26.4,2
24510010200,13.4,1
24510271801,58.3,5
24510150900,49.4,5
24510080700,39.6,3
24510261000,31.8,2
24510160300,57.4,5
24510060200,27.1,2
24510200702,56.0,5
24510020200,29.9,2
24510260604,43.1,3
24510280402,38.1,3
24510010100,15.8,1
24510010300,11.1,1
24510010400,13.9,1
24510010500,17.8,1
24510020100,17.8,1
24510020300,18.3,1
24510030100,39.0,3
24510080200,60.9,5
24510080302,54.8,5
24510080400,43.3,4
24510080500,53.2,5
24510080600,46.5,4
24510090100,37.4,3
24510240300,14.3,1
24510250101,39.0,3
24510250102,43.4,4
24510250103,43.3,4
24510250203,40.7,3
24510240400,11.7,1
24510250204,66.8,5
24510180300,41.4,3
24510190100,55.0,5
24510270802,32.9,2
24510271400,19.6,1
24510271501,27.2,2
24510120700,23.7,1
24510130100,54.2,5
24510271300,18.1,1
24510260402,44.3,4
24510260404,46.3,4
24510260501,45.5,4
24510090800,52.0,5
24510100200,64.5,5
24510100300,17.4,1
24510110100,29.2,2
24510110200,33.0,2
24510120100,23.3,1
24510120300,35.6,2
24510120500,30.7,2
24510120600,52.6,5
24510280600,53.6,5
