GEOID,TRACTCE,Equity_Score,Equity_Quintile,Pct_Minority,Pct_Poverty,Med_HH_Income,Pct_ZeroVehicle,Pct_Disability,Pct_Elderly,Pct_TransitCommute,Avg_Travel_Time,Pct_Hispanic,Pct_Black,Pct_White
24510160600,160600,46.6,4,92.5,20.6,40729.0,40.9,23.8,19.1,21.1,25.0,1.8,90.7,4.7
24510271802,271802,44.0,4,90.0,25.9,42850.0,34.7,20.6,13.7,8.7,22.4,0.0,90.0,7.1
24510270600,270600,28.1,2,63.2,10.9,81633.0,5.3,18.0,17.5,2.1,23.4,0.4,62.8,29.3
24510270401,270401,36.8,3,74.9,22.2,65485.0,23.4,15.1,18.5,13.8,24.2,1.1,73.8,18.5
24510270402,270402,25.6,1,57.7,7.3,113107.0,1.9,10.1,13.9,4.2,26.4,2.8,54.9,31.6
24510270502,270502,30.4,2,51.9,7.2,90739.0,13.3,19.9,20.5,8.2,30.2,3.7,48.3,42.1
24510151200,151200,49.1,4,95.4,20.8,40179.0,47.8,29.0,26.0,8.6,25.8,0.0,95.4,1.1
24510151000,151000,44.6,4,87.4,23.6,56369.0,35.2,14.1,17.1,29.7,26.4,5.0,82.4,4.0
24510151100,151100,37.7,3,91.8,17.4,65855.0,27.9,19.1,21.7,8.4,19.1,6.9,84.9,2.9
24510150800,150800,42.9,3,88.6,21.1,64914.0,29.2,19.3,16.7,14.5,26.5,1.9,86.7,2.2
24510250205,250205,47.0,4,85.9,32.8,42500.0,26.1,11.6,7.0,10.4,24.4,50.2,35.7,8.8
24510260605,260605,39.4,3,72.6,14.6,63082.0,10.7,11.4,7.4,5.5,24.3,59.5,13.2,26.3
24510261100,261100,12.2,1,9.3,3.0,171700.0,2.7,5.2,7.6,2.9,24.7,6.6,2.7,78.0
24510270101,270101,18.4,1,26.1,3.3,121181.0,4.8,11.0,14.7,1.8,23.2,4.9,21.2,68.3
24510270102,270102,36.0,2,85.3,30.0,69625.0,16.3,12.3,12.0,3.0,28.3,2.1,83.2,11.3
24510270200,270200,24.7,1,47.9,7.7,110701.0,0.7,11.9,26.8,0.0,29.0,12.1,35.8,46.6
24510270301,270301,26.7,2,65.7,5.8,106484.0,8.9,10.4,15.5,6.8,25.0,5.3,60.4,26.6
