GEOID,Avg_Headway,Equity_Score,Equity_Quintile
24510160600,12.0,46.6,4
24510271802,22.6,44.0,4
24510270600,16.2,28.1,2
24510270401,16.0,36.8,3
24510270402,13.6,25.6,1
24510270502,19.0,30.4,2
24510151200,20.8,49.1,4
24510151000,16.1,44.6,4
24510151100,23.4,37.7,3
24510150800,15.8,42.9,3
24510250205,26.4,47.0,4
24510260605,19.9,39.4,3
24510261100,30.1,12.2,1
24510270101,18.5,18.4,1
24510270102,16.1,36.0,2
24510270200,9.1,24.7,1
24510270301,16.5,26.7,2
24510270302,16.6,26.0,1
24510240200,31.5,12.9,1
24510271600,22.0,45.1,4
24510271700,18.2,42.2,3
24510230100,40.2,24.0,1
24510140100,16.4,35.9,2
24510250500,29.9,45.0,4
24510250600,23.5,25.9,1
24510260101,15.3,31.4,2
24510030200,18.2,26.1,1
24510040100,20.0,30.0,2
24510040200,24.3,38.4,3
24510060400,18.2,35.7,2
24510070100,21.5,51.9,5
24510070200,28.3,47.6,4
24510070300,13.0,37.0,3
24510070400,18.3,45.3,4
24510151300,22.6,50.3,5
24510160400,17.7,53.2,5
24510260202,17.9,49.0,4
24510260203,15.2,38.6,3
24510260301,21.4,38.2,3
24510260302,20.2,40.0,3
24510260303,27.4,42.3,3
24510260401,46.2,46.1,4
24510090200,13.0,29.0,2
24510090300,15.6,39.9,3
24510090400,11.3,50.0,5
24510090500,10.3,34.3,2
24510090600,8.9,43.4,4
24510090700,10.7,48.8,4
24510160500,13.7,48.7,4
24510160700,10.0,53.8,5
24510160801,14.0,44.2,4
24510160802,9.6,51.1,5
24510170100,18.4,46.7,4
24510170200,20.2,63.7,5
24510170300,22.1,59.8,5
24510270702,16.3,32.3,2
24510270801,26.1,33.3,2
24510270703,25.0,24.6,1
24510150300,14.1,58.0,5
24510200500,19.5,49.8,5
24510200600,20.7,43.8,4
24510200701,18.4,46.8,4
24510200800,16.4,47.8,4
24510270903,17.9,29.7,2
24510271001,16.9,46.7,4
24510271002,16.6,40.5,3
24510271101,19.8,29.5,2
24510271102,32.7,18.9,1
24510271200,23.8,13.8,1
24510130806,19.8,20.2,1
24510140200,23.4,46.6,4
24510140300,19.7,49.4,5
24510150200,13.3,52.6,5
24510150400,17.9,53.3,5
24510150702,34.8,46.4,4
