stop_id_raw,stop_name,mode,Headway_Min,Freq_Class
12613,CLINTON ST & DANVILLE AVE mid nb,localbus,9.2,High Frequency
12376,CLINTON ST & CARDIFF AVE nb,localbus,19.0,Moderate Frequency
2420,EAST AVE & BOSTON ST nb,localbus,38.8,Infrequent
2422,EAST AVE & O'DONNELL ST nb,localbus,38.9,Infrequent
14158,S EAST AVE & HUDSON ST nb fs,localbus,38.9,Infrequent
2425,EAST AVE & EASTERN AVE nb,localbus,38.9,Infrequent
2427,EAST AVE & GOUGH ST nb,localbus,38.9,Infrequent
10439,EAST ST & LOMBARD ST nb,localbus,38.9,Infrequent
12405,BALTIMORE ST & ELLWOOD ST wb,localbus,38.9,Infrequent
8601,BALTIMORE ST & LINWOOD AVE wb,localbus,38.9,Infrequent
2444,LINWOOD AVE & PULASKI HWY nb,localbus,38.9,Infrequent
2445,LINWOOD AVE & JEFFERSON ST nb,localbus,38.9,Infrequent
13589,MCELDERRY ST & GLOVER ST wb,localbus,38.9,Infrequent
2450,MILTON AVE & MONUMENT ST nb,localbus,38.9,Infrequent
8355,MADISON ST & PATTERSON PARK AVE wb,localbus,7.6,High Frequency
967,MADISON ST & CHESTER ST wb,localbus,7.8,High Frequency
8566,MADISON ST & WASHINGTON ST wb,localbus,7.7,High Frequency
10573,WASHINGTON ST & ASHLAND AVE nb,localbus,18.9,Moderate Frequency
2472,WASHINGTON ST & EAGER ST nb,localbus,18.9,Moderate Frequency
2473,WASHINGTON ST & CHASE ST nb,localbus,18.9,Moderate Frequency
2474,WASHINGTON ST & PRESTON ST nb,localbus,18.9,Moderate Frequency
2475,WASHINGTON ST & GAY ST nb,localbus,18.9,Moderate Frequency
2476,WASHINGTON ST & FEDERAL ST nb,localbus,18.9,Moderate Frequency
2478,WASHINGTON ST & LAFAYETTE AVE nb,localbus,18.9,Moderate Frequency
2440,NORTH AVE & WOLFE ST wb,localbus,9.9,High Frequency
2481,NORTH AVE & BROADWAY fs wb,localbus,9.9,High Frequency
3409,HARFORD RD & BROADWAY nb,localbus,11.7,Moderate Frequency
13839,25TH ST & HARFORD RD wb fs,localbus,38.9,Infrequent
13840,25TH ST & AISQUITH ST wb ns,localbus,38.9,Infrequent
13841,25TH ST & KIRK AVE wb ns,localbus,38.9,Infrequent
13843,25TH ST & HOMEWOOD AVE opp wb,localbus,38.9,Infrequent
13844,25TH ST & GREENMOUNT AVE wb fs,localbus,38.9,Infrequent
13846,25TH ST & CHARLES ST wb fs,localbus,38.9,Infrequent
13847,25TH ST & MARYLAND AVE wb fs,localbus,38.9,Infrequent
5013,REMINGTON AVE & 27TH ST fs nb,localbus,19.9,Moderate Frequency
10508,REMINGTON AVE & 29TH ST nb,localbus,19.9,Moderate Frequency
10510,REMINGTON AVE & 31ST ST fs nb,localbus,19.9,Moderate Frequency
10511,REMINGTON AVE & WYMAN PARK DR nb,localbus,19.9,Moderate Frequency
10512,33RD ST & KESWICK RD wb,localbus,19.6,Moderate Frequency
10513,33RD ST & CHESTNUT AVE wb,localbus,19.6,Moderate Frequency
5019,CHESTNUT AVE & 34TH ST nb,localbus,19.6,Moderate Frequency
5021,36TH ST & CHESTNUT AVE fs wb,localbus,19.6,Moderate Frequency
5022,36TH ST & ROLAND AVE wb,localbus,19.6,Moderate Frequency
4880,ROLAND AVE & 37TH ST nb,localbus,40.2,Infrequent
5024,ROLAND AVE & 38TH ST nb,localbus,40.2,Infrequent
5025,ROLAND AVE & ST MARY'S TOWERS nb,localbus,40.2,Infrequent
4166,41ST ST & HICKORY AVE wb,localbus,10.3,Moderate Frequency
4168,41ST ST & FALLS RD wb,localbus,10.3,Moderate Frequency
321,41ST ST & BUENA VISTA AVE wb,localbus,10.7,Moderate Frequency
4171,41ST ST & GIRARD AVE wb,localbus,10.9,Moderate Frequency
10249,DRUID PARK DR & CLIPPER RD eb,localbus,40.4,Infrequent
8984,CLIPPER RD & UNION AVE,localbus,20.0,Moderate Frequency
4874,36TH ST & POOLE ST,localbus,63.3,Infrequent
10494,UNION AVE & ASH ST fs eb,localbus,40.0,Infrequent
10496,BUENA VISTA AVE & 41ST ST nb,localbus,40.0,Infrequent
10754,41ST ST & BUENA VISTA AVE eb,localbus,11.0,Moderate Frequency
4308,41ST ST & FALLS RD eb,localbus,10.9,Moderate Frequency
4309,41ST ST & HICKORY AVE eb,localbus,10.5,Moderate Frequency
4310,41ST ST & ROLAND AVE eb,localbus,10.5,Moderate Frequency
13848,ROLAND AVE & 38TH ST sb ns,localbus,40.0,Infrequent
4881,36TH ST & ROLAND AVE eb,localbus,19.4,Moderate Frequency
4882,36TH ST & CHESTNUT AVE eb,localbus,19.4,Moderate Frequency
4884,CHESTNUT AVE & 34TH ST sb,localbus,19.4,Moderate Frequency
4885,33RD ST & CHESTNUT AVE fs eb,localbus,19.4,Moderate Frequency
4886,33RD ST & BEECH AVE eb,localbus,19.4,Moderate Frequency
4887,REMINGTON AVE & WYMAN PARK DR sb,localbus,19.4,Moderate Frequency
4888,REMINGTON AVE & 31ST ST sb,localbus,19.4,Moderate Frequency
4890,REMINGTON AVE & 28TH ST sb mid,localbus,19.4,Moderate Frequency
4893,HOWARD ST & 26TH ST fs,localbus,19.4,Moderate Frequency
4894,HOWARD ST & 25TH ST sb,localbus,19.4,Moderate Frequency
13850,25TH ST & CHARLES ST eb fs,localbus,38.6,Infrequent
13851,25TH ST & ST PAUL ST eb ns,localbus,38.6,Infrequent
13852,25TH ST & GREENMOUNT AVE eb fs,localbus,32.2,Infrequent
13853,25TH ST & HOMEWOOD AVE eb ns,localbus,38.6,Infrequent
13854,25TH ST & KIRK AVE eb ns,localbus,38.6,Infrequent
13855,25TH ST & ROBB ST eb ns,localbus,38.6,Infrequent
10251,HARFORD RD & CLIFTVIEW AVE sb,localbus,11.6,Moderate Frequency
3628,HARFORD RD & BONAPARTE AVE sb,localbus,11.6,Moderate Frequency
8624,NORTH AVE & HARFORD RD fs eb,localbus,9.7,High Frequency
2647,NORTH AVE & BROADWAY fs eb,localbus,9.4,High Frequency
2649,NORTH AVE & WOLFE ST eb,localbus,9.3,High Frequency
12303,WOLFE ST & LAFAYETTE AVE sb,localbus,18.3,Moderate Frequency
2653,WOLFE ST & FEDERAL ST sb,localbus,18.3,Moderate Frequency
2655,WOLFE ST & GAY ST fs sb,localbus,17.8,Moderate Frequency
2656,WOLFE ST & BIDDLE ST sb,localbus,18.3,Moderate Frequency
2658,WOLFE ST & EAGER ST sb,localbus,18.3,Moderate Frequency
2659,WOLFE ST & ASHLAND AVE sb,localbus,18.4,Moderate Frequency
14142,WOLFE ST & MADISON ST sb fs Bay 1,localbus,18.1,Moderate Frequency
831,MONUMENT ST & WASHINGTON ST fs eb,localbus,7.6,High Frequency
832,MONUMENT ST & CHESTER ST eb,localbus,7.6,High Frequency
9571,MONUMENT ST & PATTERSON PARK AVE,localbus,13.1,Moderate Frequency
